company,work_life_balance,culture_values,career_opportunities,comp_benefits,senior_management
amazon,3.012878965922444,3.5271915393654525,3.6169682726204466,3.7086251468860163,3.1670975323149237
apple,3.3418413855970828,4.098652891724906,3.4225665957662312,4.065734832371113,3.4477868935480602
facebook,3.8763866877971473,4.478605388272583,4.32012678288431,4.56973058637084,4.209984152139461
google,4.0059435364041605,4.3553120356612185,4.037147102526003,4.431092124814264,3.87555720653789
microsoft,3.589699074074074,3.670304232804233,3.7120535714285716,4.029183201058201,3.2073412698412698
netflix,3.238512035010941,3.560175054704595,3.1881838074398248,4.264770240700219,3.2297592997811817
