persona_cluster,work_life_balance,culture_values,career_opportunities,comp_benefits,senior_management,persona_name
0,4.0590472377902325,4.002552041633306,3.874699759807846,3.7602582065652523,3.937099679743795,전반적 만족형
1,3.547699506108656,4.281388094619183,2.5343124512607225,4.100207954250065,2.8453340265141667,문화·복지 강점형
2,2.5272482796804554,4.24084473621767,4.210314007751325,4.021434786047616,3.6643201771731393,성장·문화 강점형
3,2.8017155395970477,2.402353879912228,3.4037502493516856,4.170855774985039,2.0917614203072015,보상·복지 강점형
